"schema"
"md_baltimore"
"ca_san_leandro"
"mn_land_bank_twin_cities"
"tx_mesquite"
"ga_dekalb_county_land_bank"
"in_evansville"
"in_carmel"
"ri_ridoh"
"in_plainfield"
"ri_cumberland"
"ny_corning"
"oh_cuyahoga_falls"
"il_south_holland"
"wa_vancouver"
"ca_santa_ana"
"ca_pinole"
"ma_revere"
"ca_east_palo_alto"
"va_fairfax_county"
"ca_ontario"
"ca_foster_city"
"ca_stockton"
"fl_st_petersburg"
"ca_salinas"
"oh_columbus"
"ca_san_luis_obispo"
"ga_chamblee"
"sc_columbia"
"il_cook_county_land_bank"
"oh_lima"
"ny_nyc"
"me_maine_redevelopment_land_bank"
"ne_omaha"
"ma_city_of_tolemi"
"pa_tri_cog_land_bank"
"pa_reading"
"ky_hopkinsville"
"ny_rochester"
"ma_brockton"
"tx_austin_afa"
"ca_half_moon_bay"
"ut_summit_county"
"mi_battle_creek"
"wa_lakewood"
"wa_spokane"
"ne_omaha_municipal_land_bank"
"nj_invest_newark"
"wa_black_home_initiative"
"mo_kansas_city"
"va_newport_news"
"la_new_orleans"
"ma_boston"
"az_chandler"
"tx_dallas"
"fl_winter_haven"
"oh_summit_county"
"ny_elmira"
"al_birmingham"
"ca_long_beach"
"ca_san_jose"
"ny_albany"
"ny_newburgh"
"il_crest_hill"
"in_fishers"
"in_renew_landbank"
"in_indianapolis"
"mi_genesee_county"
"pa_pittsburgh"
"mn_brooklyn_center"
"oh_trumbull_neighborhood_partnership"
"de_wilmington"
"pa_erie_county_land_bank"
"md_cumberland"
"pa_pittston"
"ky_louisville"
"oh_toledo"
"mo_st_louis"
"oh_the_port"
"ny_jamestown"
"pa_lancaster"
"ca_city_of_monterey"
"ga_atlanta"
"wv_west_virginia_land_stewardship_corporation"
"ny_mount_vernon"
"ny_chautauqua_county"
"pa_scranton"
"al_montgomery"
"oh_montgomery_county_land_bank"
"nc_rocky_mount"
"la_monroe"
"ny_buffalo"
"mn_minneapolis"
"mo_st_louis_city"
"ca_san_jose_housing"
"ny_auburn"
"fl_sanford"
"al_birmingham_land_bank"
"ma_haverhill"
"mo_springfield"
"nc_high_point"
"ma_worcester"
"wv_charleston"
"il_rockford"
"nj_trenton"
"ca_berkeley_rent_board"
"ny_poughkeepsie"
"il_freeport"
"ny_troy"
"va_hopewell"
"ny_erie_county"
"pa_philadelphia_afa"
"oh_cincinnati"
"ny_smithtown"
"tn_memphis"
"ia_waterloo"
"nm_carlsbad"
"ga_gainesville"
"tn_chattanooga"
"la_shreveport"
"ma_lynn"
"ga_clayton_county_land_bank"
"ny_allegany_county"
"ca_clearlake"
"ga_powder_springs"
"tx_temple"
"ga_savannah"
"wi_racine"
"il_chicago_afa"
"ri_providence"
